"","Country","Year","Biofuel","Coal","Fossil","Gas","Hydro","Low Carbon","Nuclear","Oil","Other Renewables","Renewables","Solar","Wind"
"9957","World",1965,0,18.1168143998602,45.5184901117465,7.0756594596169,2.87861282900166,3.01404840729702,0.0796108775642955,20.3260162522694,0.056310132911331,2.93443752973272,0,0
"9958","World",1966,0,17.3782233566583,45.4462959907606,7.31242175140969,2.90914914059998,3.06977105311684,0.101905140871726,20.7556508826926,0.0587167716451372,2.96786591224512,0,0
"9959","World",1967,0,16.4849355768951,45.4962084065598,7.56862250099523,2.86772630618209,3.04152790049616,0.117000514608073,21.4426503286695,0.0568010797059937,2.92452738588809,0,0
"9960","World",1968,0,15.7741144480322,45.5000121391634,7.78411711864818,2.84736215979995,3.04693000558402,0.139843162009274,21.9417805724829,0.0592391172400398,2.90660127703999,0,0
"9961","World",1969,0,15.2298711012249,45.5191405453186,8.00833422374185,2.82469960854404,3.03888333058116,0.15541675975483,22.2814208977261,0.0587669622822951,2.88346657082633,0,0
"9962","World",1970,0,14.5548186478148,45.5457571119695,8.20348371109977,2.78405364040522,3.03184899059835,0.187061195734033,22.7874547530549,0.0607341544591016,2.84478779486432,0,0
"9963","World",1971,0,13.9074038087835,45.4639525845317,8.43664982510688,2.7939176059075,3.10726778080062,0.249708511465216,23.1198989506413,0.0636416634279052,2.85755926933541,0,0
"9964","World",1972,0,13.34055714015,45.4118298744904,8.44650900627305,2.77501081141491,3.16859490478666,0.328958557052687,23.6242778217793,0.0646255363190655,2.83963634773398,0,0
"9965","World",1973,0,13.0065086051738,45.487756233765,8.37508634360376,2.66473386712327,3.14728516252055,0.416881512253495,24.1061612849874,0.0656697831437828,2.72991720742896,0,0
"9966","World",1974,0,12.9148713171073,45.0001940918443,8.51383874849579,2.90361399014013,3.5135476107294,0.541031015876713,23.5714840262412,0.06890260471255,2.97251659485268,0,0
"9967","World",1975,0,13.0911260745542,44.7650049482856,8.46933033202026,2.92336949139386,3.73886635747967,0.746123842974405,23.2040634156754,0.0693730231114043,2.99274251450527,0,0
"9968","World",1976,0,12.8978183761722,44.9098683251543,8.52679655993392,2.7666294154803,3.66988970409601,0.82940576259657,23.4852533890482,0.0738545260191439,2.84048394149944,0,0
"9969","World",1977,0,12.8108812066904,44.753287395644,8.49620479527276,2.75869106741955,3.82970658839766,0.996180498187437,23.4462013936808,0.074835022790666,2.83401203191665,0,0
"9970","World",1978,0,12.501213380186,44.4466015647751,8.54219650934788,2.88104991360733,4.07453066454406,1.11679512318236,23.4031916752412,0.076685627754373,2.9577355413617,0,0
"9971","World",1979,0,12.636874815034,44.375336577414,8.76241394534225,2.92209839946827,4.1238313789607,1.12216729171013,22.9760478170377,0.0795656877823005,3.00166408725057,0,0
"9972","World",1980,0,13.0246153547849,44.1311914064393,8.89070937593919,3.00348046962103,4.3244107923643,1.23464569982646,22.2158666757152,0.0857998778442417,3.08928034746527,0,0
"9973","World",1981,0,13.2570382460202,43.777333288131,9.02319364196843,3.07973207929136,4.63630683992077,1.46407140677744,21.4971014001424,0.0925033538519656,3.17271974389647,0,0
"9974","World",1982,0,13.4758980463892,43.5132087706818,9.11765702201381,3.15229647266058,4.85668520104722,1.59695707089038,20.9201376286639,0.107431657496262,3.25972813015684,0,0
"9975","World",1983,0,13.659397514627,43.1971374691746,9.10981093757555,3.23195203326725,5.12837870509163,1.7794110536241,20.4279290169721,0.11701561820028,3.34896765146753,0,0
"9976","World",1984,0,13.6044582259009,42.96653911832,9.40600525350839,3.18983741213918,5.37589674872653,2.06125223128982,19.9565593873809,0.12480710529753,3.31464451743671,0,0
"9977","World",1985,0,13.8255247902291,42.6747123210777,9.37267122823657,3.1700330020227,5.67857384807456,2.38369448450066,19.4760324019859,0.124362460925024,3.29439546294773,0,0
"9978","World",1986,0,13.6844398189607,42.5824721059128,9.26349928600818,3.14446837863349,5.77825108308929,2.49921339884309,19.6345330009439,0.134085243362296,3.27903768424619,0,0
"9979","World",1987,0,13.7509989586613,42.5408664906885,9.42581067008936,3.08139394086165,5.84893323323566,2.62853268108396,19.3635725183445,0.139006611290049,3.2204005521517,0,0.000484343593345119
"9980","World",1988,0,13.6443789906115,42.4368526610536,9.50480084487119,3.06362693898906,5.96254275222602,2.7608491342977,19.2871883810834,0.137582234451754,3.20169361792832,0,0.000484444487506177
"9981","World",1989,0,13.5216101448432,42.4955887770733,9.73377542512555,2.9913908440463,5.93188296201501,2.78682644019157,19.2402032071045,0.149302929827623,3.14505652182343,0.000484749772167607,0.00387799817734086
"9982","World",1990,0.0522322011520102,13.1741218461181,42.2621379413742,9.91251106307038,3.05074745247112,6.10101127345008,2.82682607160648,19.1750214006935,0.165401970314699,3.2741852018436,0.000483631492148243,0.00531994641363067
"9983","World",1991,0.0546183962492146,12.9469766542607,42.0638986901252,10.0860360578085,3.09874812702402,6.27096524723283,2.93972642467011,19.0304026294166,0.171105418338247,3.33123882256271,0.00048334863937358,0.00580018367248296
"9984","World",1992,0.0536579234867015,12.80587433411,42.0813473456247,10.0577185231019,3.07542080380536,6.25912426401632,2.94055088801446,19.2182378931289,0.182243577968347,3.31857337600186,0.00048340471609641,0.00676766602534974
"9985","World",1993,0.0550153222498371,12.7577636754096,41.7614554930869,10.0716646960886,3.23142629635885,6.4975991120334,3.01570832227397,18.9315445310426,0.186762541321816,3.48237338030548,0.000965181092102406,0.00772144873681925
"9986","World",1994,0.0588811614067771,12.6459359932818,41.7563960868159,10.0064190118583,3.21240172396318,6.50685096791942,3.03382770986066,19.1040410816759,0.191605090807299,3.47302325805876,0.000965264941094707,0.00965264941094707
"9987","World",1995,0.0607427976397084,12.4599868872691,41.529272243434,10.1334413205291,3.31482124262409,6.67929731189016,3.09691850823402,18.9358440356358,0.195244706699063,3.58237880365614,0.000964171391106483,0.0110879709977246
"9988","World",1996,0.0564339529813527,12.3990700456295,41.5831412006444,10.3418836399417,3.2668988336983,6.65100664666557,3.11978468276401,18.8421875150732,0.195348298781605,3.53122196390156,0.0009646829569462,0.0120585369618275
"9989","World",1997,0.058337150157896,12.2561049104452,41.5697996769761,10.1800737651568,3.29339729527758,6.64272111467348,3.06776269797266,19.1336210013741,0.206831714196177,3.57495841670082,0.000964250415832992,0.0154280066533279
"9990","World",1998,0.0588079342508014,12.1004555204743,41.5087609361066,10.3000650743535,3.29854667277241,6.69446385963221,3.10043141886192,19.1082403412788,0.214986382588995,3.59403244077029,0.000964064495914777,0.0202453544142103
"9991","World",1999,0.0583388377553529,11.9613902964674,41.478913644056,10.407455799893,3.26456421852475,6.73500185623575,3.16235071766413,19.1095854085406,0.222266150456345,3.57265113857162,0.000964278310005834,0.0265176535251604
"9992","World",2000,0.0554505477549761,12.0641104767783,41.4991899398241,10.5601951859281,3.24120506094739,6.71867767319858,3.15441289924394,18.8753664557939,0.227588335133467,3.56378259527851,0.00144653602839068,0.0385742940904181
"9993","World",2001,0.0550365703526686,12.1490815168851,41.6390276872571,10.6128853163396,3.11053177879161,6.63866560455741,3.19453496511937,18.8775436309653,0.230767373934873,3.44413063943805,0.00144833079875444,0.0463465855601419
"9994","World",2002,0.0622764204092864,12.3543866255353,41.6735460386886,10.6931993183387,3.08002761404068,6.60274885223109,3.15533863407051,18.6264428577636,0.241381474454599,3.44741021816058,0.00193105179563679,0.061310894511468
"9995","World",2003,0.068145570537915,12.9940553863999,42.0216519259581,10.6239427770528,2.95345802522836,6.30853994490358,2.96892368662704,18.4036537625054,0.245034072785269,3.33961625827655,0.00241650959354309,0.0705620801314581
"9996","World",2004,0.0782261024085913,13.2332489907867,41.9253278736021,10.5093388445715,3.00156452204817,6.36238966256543,2.93879048925115,18.1827400382439,0.250130376837348,3.42408205048964,0.00338014022753172,0.0907809089679949
"9997","World",2005,0.0907616252124208,13.7537656418971,42.0009076162521,10.4428974200525,2.98306426695504,6.27655260312066,2.83195581646841,17.8042445543025,0.260215510582419,3.44459678665225,0.00434497141974355,0.106693187084814
"9998","World",2006,0.110485509029416,14.0649500402862,41.9729141638563,10.4092788528806,2.98986331639865,6.27403301056126,2.76840982886808,17.4991677401612,0.268253026289762,3.50562318169318,0.0057896336609301,0.131231696314416
"9999","World",2007,0.141339006189008,14.412237160099,42.1026227309783,10.5068426409652,2.93097543209698,6.13594593421224,2.61356565028002,17.1835429299142,0.280748469631409,3.52238028393222,0.00723578529977858,0.162563976401692
"10000","World",2008,0.190590783299242,14.4098183130791,41.8327517747563,10.6114787630851,3.03886415593791,6.29623390687041,2.55420527012393,16.8114546985922,0.294549392371556,3.74202863674648,0.0120322464204067,0.205992058717363
"10001","World",2009,0.221561116744926,14.3875349042866,41.6458001912827,10.5397728638096,3.05763953303952,6.41517957985091,2.53761973191585,16.7184924231865,0.319124905680327,3.87804045773277,0.0197050017061648,0.259529290764122
"10002","World",2010,0.243409460802435,14.3443547728899,41.5639657978501,10.7954736402437,3.05966172326217,6.44578978448421,2.46530094915287,16.4246174822724,0.338468776855457,3.98000873777552,0.0302461460168706,0.30870272839441
"10003","World",2011,0.248503223825606,14.6669673011974,41.6305265581824,10.7863831747006,3.02329597789377,6.34306877494627,2.29073917715689,16.1771760822843,0.344450414491864,4.05232959778938,0.0561291065397605,0.38043061099171
"10004","World",2012,0.250901377563479,14.5082285117814,41.5557800686627,10.9075064520917,3.08646999956906,6.32616221444407,2.08956796123478,16.1405239242125,0.364381580774442,4.23611543378646,0.0852298572639301,0.449132618615541
"10005","World",2013,0.262837208190963,14.4708609113283,41.3117966117894,10.8599555566175,3.14066569496547,6.47678669565841,2.05299753888796,15.9809801438436,0.381830780626508,4.42331127093737,0.114692599937875,0.523284987216554
"10006","World",2014,0.279120365289832,14.3191133037832,41.0779294517313,10.8279616579273,3.15668433633765,6.63495350379556,2.05976515719009,15.9308544900209,0.406036633951533,4.57471121777591,0.16031528673057,0.572554595466322
"10007","World",2015,0.28640459772306,13.8479720552985,40.9062966122291,10.9848791715711,3.10374899329499,6.74837854967762,2.05820542024275,16.0739219321111,0.430321716712018,4.69017312943486,0.205391649947818,0.66430617175698
"10008","World",2016,0.293945577260598,13.4335031368464,40.6477266781772,11.0681449560746,3.13827333133565,6.91628258729185,2.04525239841517,16.1465542253488,0.428551723481876,4.87103018887668,0.256845650033533,0.753889546857684
"10009","World",2017,0.296240030383593,13.2230345613369,40.4116027345234,11.1574249905051,3.10007595898215,7.06276110900114,2.01148879605013,16.0311431826814,0.444360045575389,5.05127231295101,0.340865932396506,0.869730345613369
"10010","World",2018,0.30812404600055,13.0630374394418,40.2201427799425,11.4067521829404,3.07033760914702,7.18260853076974,1.98763711520047,15.7498791205666,0.452705329123885,5.19497141556927,0.429003479431535,0.934800951866284
"10011","World",2019,0.321187494974054,12.7883710259552,39.8859051196057,11.4596292389417,3.04915256642526,7.41569419544661,2.01936585573525,15.6379048547088,0.470665033135764,5.39680136989541,0.522698353381929,1.03262489179435
