"date","name","category","value"
"1977-01-01","Wind","Wind",0
"1978-01-01","Biofuel","Biofuel",0
"1978-01-01","Coal","Coal",8.4165614773315
"1978-01-01","Gas","Gas",8.03583024876745
"1978-01-01","Hydro","Hydro",6.94965317451327
"1978-01-01","Nuclear","Nuclear",6.00347710654098
"1978-01-01","Oil","Oil",9.04348168640319
"1978-01-01","OtherRenewables","OtherRenewables",3.35787225692378
"1978-01-01","Solar","Solar",0
"1978-01-01","Wind","Wind",0.00199800266267306
"1979-01-01","Biofuel","Biofuel",0
"1979-01-01","Coal","Coal",8.44455260366569
"1979-01-01","Gas","Gas",8.07848510782692
"1979-01-01","Hydro","Hydro",6.98096763590653
"1979-01-01","Nuclear","Nuclear",6.02520150190501
"1979-01-01","Oil","Oil",9.04227822484328
"1979-01-01","OtherRenewables","OtherRenewables",3.41038834836374
"1979-01-01","Solar","Solar",0
"1979-01-01","Wind","Wind",0.00399202126953746
"1980-01-01","Biofuel","Biofuel",0
"1980-01-01","Coal","Coal",8.45098736109088
"1980-01-01","Gas","Gas",8.06928164509331
"1980-01-01","Hydro","Hydro",6.98470891268342
"1980-01-01","Nuclear","Nuclear",6.0971750015301
"1980-01-01","Oil","Oil",8.98488565196794
"1980-01-01","OtherRenewables","OtherRenewables",3.45858539877089
"1980-01-01","Solar","Solar",0
"1980-01-01","Wind","Wind",0.00697561373642514
"1981-01-01","Biofuel","Biofuel",0
"1981-01-01","Coal","Coal",8.44732979827809
"1981-01-01","Gas","Gas",8.0626949696288
"1981-01-01","Hydro","Hydro",6.98842517454761
"1981-01-01","Nuclear","Nuclear",6.24562215195136
"1981-01-01","Oil","Oil",8.93064736842609
"1981-01-01","OtherRenewables","OtherRenewables",3.51285800986846
"1981-01-01","Solar","Solar",0
"1981-01-01","Wind","Wind",0.00598207167754747
"1982-01-01","Biofuel","Biofuel",0
"1982-01-01","Coal","Coal",8.4408057617336
"1982-01-01","Gas","Gas",8.05023834989048
"1982-01-01","Hydro","Hydro",6.98879226143142
"1982-01-01","Nuclear","Nuclear",6.30947818139811
"1982-01-01","Oil","Oil",8.88055312096442
"1982-01-01","OtherRenewables","OtherRenewables",3.63547867738682
"1982-01-01","Solar","Solar",0
"1982-01-01","Wind","Wind",0.0109399400383343
"1983-01-01","Biofuel","Biofuel",0
"1983-01-01","Coal","Coal",8.45358437130604
"1983-01-01","Gas","Gas",8.04864226648445
"1983-01-01","Hydro","Hydro",7.01292127572238
"1983-01-01","Nuclear","Nuclear",6.41682541543022
"1983-01-01","Oil","Oil",8.85598673172613
"1983-01-01","OtherRenewables","OtherRenewables",3.71851106923854
"1983-01-01","Solar","Solar",0.00199800266267306
"1983-01-01","Wind","Wind",0.0188217542405877
"1984-01-01","Biofuel","Biofuel",0
"1984-01-01","Coal","Coal",8.47815751714221
"1984-01-01","Gas","Gas",8.10919397516654
"1984-01-01","Hydro","Hydro",7.02841151637173
"1984-01-01","Nuclear","Nuclear",6.5922908255179
"1984-01-01","Oil","Oil",8.86126589970852
"1984-01-01","OtherRenewables","OtherRenewables",3.80963584274972
"1984-01-01","Solar","Solar",0.00399202126953746
"1984-01-01","Wind","Wind",0.0256677467485778
"1985-01-01","Biofuel","Biofuel",0
"1985-01-01","Coal","Coal",8.50215305344308
"1985-01-01","Gas","Gas",8.11353534921877
"1985-01-01","Hydro","Hydro",7.02999238054342
"1985-01-01","Nuclear","Nuclear",6.74535281329042
"1985-01-01","Oil","Oil",8.84475686435638
"1985-01-01","OtherRenewables","OtherRenewables",3.81469679479864
"1985-01-01","Solar","Solar",0.00697561373642514
"1985-01-01","Wind","Wind",0.0363319292473902
"1986-01-01","Biofuel","Biofuel",0
"1986-01-01","Coal","Coal",8.49510564768556
"1986-01-01","Gas","Gas",8.10503060518835
"1986-01-01","Hydro","Hydro",7.0252040365516
"1986-01-01","Nuclear","Nuclear",6.79571472367934
"1986-01-01","Oil","Oil",8.85607324121304
"1986-01-01","OtherRenewables","OtherRenewables",3.89022719305769
"1986-01-01","Solar","Solar",0.0089597413714718
"1986-01-01","Wind","Wind",0.0751074724868055
"1987-01-01","Biofuel","Biofuel",0
"1987-01-01","Coal","Coal",8.51532023853451
"1987-01-01","Gas","Gas",8.13774518423005
"1987-01-01","Hydro","Hydro",7.02027381477806
"1987-01-01","Nuclear","Nuclear",6.86142124605139
"1987-01-01","Oil","Oil",8.85752824346454
"1987-01-01","OtherRenewables","OtherRenewables",3.9393073784552
"1987-01-01","Solar","Solar",0.00598207167754747
"1987-01-01","Wind","Wind",0.1016536537265
"1988-01-01","Biofuel","Biofuel",0
"1988-01-01","Coal","Coal",8.52658118597016
"1988-01-01","Gas","Gas",8.16515917597566
"1988-01-01","Hydro","Hydro",7.03350912978684
"1988-01-01","Nuclear","Nuclear",6.92951579228959
"1988-01-01","Oil","Oil",8.87264797125743
"1988-01-01","OtherRenewables","OtherRenewables",3.94928025378385
"1988-01-01","Solar","Solar",0.00598207167754747
"1988-01-01","Wind","Wind",0.164666621555234
"1989-01-01","Biofuel","Biofuel",0
"1989-01-01","Coal","Coal",8.51839566815121
"1989-01-01","Gas","Gas",8.18980239341916
"1989-01-01","Hydro","Hydro",7.01047791850192
"1989-01-01","Nuclear","Nuclear",6.93981096142227
"1989-01-01","Oil","Oil",8.87105197369148
"1989-01-01","OtherRenewables","OtherRenewables",4.03145800916691
"1989-01-01","Solar","Solar",0.130150684465045
"1989-01-01","Wind","Wind",0.877549903557725
"1990-01-01","Biofuel","Biofuel",3.01012815383772
"1990-01-01","Coal","Coal",8.48917923927905
"1990-01-01","Gas","Gas",8.20481315302642
"1990-01-01","Hydro","Hydro",7.02706514843434
"1990-01-01","Nuclear","Nuclear",6.95091246481956
"1990-01-01","Oil","Oil",8.86448327499322
"1990-01-01","OtherRenewables","OtherRenewables",4.12692468564035
"1990-01-01","Solar","Solar",0.183986836113016
"1990-01-01","Wind","Wind",1.06263962820929
"1991-01-01","Biofuel","Biofuel",3.04756542219401
"1991-01-01","Coal","Coal",8.46318674607685
"1991-01-01","Gas","Gas",8.21351939693571
"1991-01-01","Hydro","Hydro",7.03397286581475
"1991-01-01","Nuclear","Nuclear",6.98140900512462
"1991-01-01","Oil","Oil",8.84828469209275
"1991-01-01","OtherRenewables","OtherRenewables",4.15234613901876
"1991-01-01","Solar","Solar",0.23031775506221
"1991-01-01","Wind","Wind",1.13043390099107
"1992-01-01","Biofuel","Biofuel",3.014897442815
"1992-01-01","Coal","Coal",8.44405459541944
"1992-01-01","Gas","Gas",8.20254463642353
"1992-01-01","Hydro","Hydro",7.01832480416247
"1992-01-01","Nuclear","Nuclear",6.97346998314518
